stamp,x,y,z,qx,qy,qz,qw
1.788340663449690819e+09,2.622831873054193519e+00,7.276995093952683957e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.958482053792598765e-01,9.552349655314504862e-01
1.788340663749799967e+09,2.618683609167723247e+00,7.250645640813270232e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.960052762260192427e-01,9.551863045743265168e-01
1.788340663849811554e+09,4.138834713970059198e+00,1.225341103497778139e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.003572701526532218e-01,9.949514653125081098e-01
1.788340663949859142e+09,4.267093165966084456e+00,1.258757976886747398e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.068562825432826519e-02,9.981569288059755074e-01
1.788340664049648762e+09,4.185176739924218126e+00,1.237074703345749427e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.033282771367748681e-02,9.991863004508311219e-01
1.788340664149779081e+09,4.174929649098891637e+00,1.233699500743748123e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.079335612447881898e-02,9.991676046070057104e-01
1.788340664249769449e+09,4.170339055873519385e+00,1.231997891764227804e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.104142098261120281e-02,9.991574459331863389e-01
1.788340664349997520e+09,3.881149658583182394e+00,1.061724709119710841e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.176988154495272332e-01,9.930493385737578782e-01
1.788340664449842453e+09,3.834343106798462131e+00,1.001309219177224596e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.641298045652055115e-01,9.864387498742065441e-01
1.788340664549766302e+09,3.843809966814952350e+00,1.005826020758866290e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.632234422503927584e-01,9.865891282088673497e-01
1.788340664649835348e+09,3.848087790413814435e+00,1.008367837597240690e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.627775128161876861e-01,9.866628002115900298e-01
1.788340664749755621e+09,3.597683521070039525e+00,8.957887085615231504e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.273176274402920194e-01,9.738206694535276320e-01
1.788340664849773645e+09,3.473263373650086194e+00,9.823985661573267913e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.207843508783623732e-01,9.753226493869709968e-01
1.788340664949761391e+09,3.468720993889096604e+00,1.009764169193983818e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.921474418181833010e-01,9.813660686016852930e-01
1.788340665049797297e+09,3.553147588988819106e+00,9.789577108846232445e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.611789655848371028e-01,9.869251952670992090e-01
1.788340665149703741e+09,3.698525771689611386e+00,9.168621907979789265e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.348704474268283271e-01,9.908632410231431598e-01
1.788340665249806404e+09,3.841385945515541245e+00,8.637924909745442470e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.053740710875230441e-01,9.944326549055203524e-01
1.788340665349711895e+09,3.923847251581365825e+00,8.392812283740951340e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.537827469508248668e-02,9.971550108704225757e-01
1.788340665449744225e+09,3.937641753546362811e+00,8.563611527847526661e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.238858333132703771e-02,9.986267752952233678e-01
1.788340665549655914e+09,3.946428400745927156e+00,8.463948952660200753e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.021089488049347835e-02,9.999478674539685752e-01
1.788340665649723530e+09,3.945759962373094343e+00,8.474389670280856324e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.015488661220560924e-02,9.999484378096168413e-01
1.788340665749669552e+09,3.945446525821243888e+00,8.479206690123869405e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.013639036236848277e-02,9.999486254755399761e-01
1.788340665949731112e+09,3.849567992578465159e+00,6.504951128848629471e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.291271163123484389e-01,9.916280491357921667e-01
1.788340666249739647e+09,3.670642723010664632e+00,4.379855049076616380e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.038286481767101199e-01,9.790065792334875505e-01
1.788340666549729109e+09,3.636844234294548617e+00,4.041386765313048635e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.554433210893767847e-01,9.668240324437687994e-01
1.788340666849728346e+09,3.559934924666963596e+00,5.893820195029066955e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.678409844069546408e-01,9.634631321809430382e-01
1.788340667049647093e+09,3.511826176985540116e+00,8.249500879760266470e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.393439696772840797e-01,9.709348403364249647e-01
1.788340667249713421e+09,3.403298232442135252e+00,1.098601114236887888e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.807921702598051517e-01,9.835213221749439239e-01
1.788340667549639463e+09,3.133364536664427824e+00,1.577959479952912414e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.753259785998115050e-02,9.969898175353059111e-01
1.788340667649347782e+09,3.134236740142278155e+00,1.576637433355684292e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.752202544689060226e-02,9.969906396604791832e-01
1.788340667749696732e+09,3.134222721879173612e+00,1.576305816233822821e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.752608772355429334e-02,9.969903237856824196e-01
1.788340667849700928e+09,2.608515988192568358e+00,2.101979195721603855e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.687158847869358463e-02,9.998576646214228925e-01
1.788340667949725389e+09,2.608037972404914751e+00,2.100019408826854228e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.662454203011626969e-02,9.998618027519048379e-01
1.788340668049722195e+09,2.080774826805336097e+00,2.403782668948790668e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.079049247392020516e-02,9.974912060641435430e-01
1.788340668149667025e+09,2.080620387065774679e+00,2.404264252250716716e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.041016103857070108e-02,9.975181247589052225e-01
1.788340668249858379e+09,1.659027203384055849e+00,2.571408804044111651e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.312515412784246438e-01,9.913490973981052834e-01
1.788340668349717379e+09,1.666528487768638378e+00,2.572314330564541063e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.312386015474107936e-01,9.913508104923703934e-01
1.788340668449680567e+09,1.669780618337899369e+00,2.573055912153191294e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.312342945428411345e-01,9.913513806596744304e-01
1.788340668549690247e+09,1.211284918969157465e+00,2.686557450049132267e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.353911922693295300e-01,9.719007082012152132e-01
1.788340668649750471e+09,1.100100050262470486e+00,2.658624487311659124e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.602414005777438644e-01,9.655435844255474409e-01
1.788340668749800444e+09,1.012308459974088581e+00,2.643830296185447626e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.905901759567608433e-01,9.568476104570772245e-01
1.788340668849841595e+09,9.415489134870471677e-01,2.649003326526370827e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.176861860570657226e-01,9.481959118180776080e-01
1.788340668949718237e+09,8.642312281168708088e-01,2.657213488150368619e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.395875067302798755e-01,9.405744655649078689e-01
1.788340669049692154e+09,7.828861832752362915e-01,2.676630998556194019e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.607646115419373412e-01,9.326569010407821381e-01
1.788340669149734974e+09,7.512792310562956821e-01,2.708824604403551106e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.638423553628477580e-01,9.314605415389398679e-01
1.788340669249728441e+09,7.271746777371582704e-01,2.752497638148593051e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.641315991211961922e-01,9.313475068530759904e-01
1.788340669349636316e+09,7.244642018548992368e-01,2.780760931343920550e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.619455670915366352e-01,9.321992310996538578e-01
1.788340669449859381e+09,7.378943296816731223e-01,2.781903234921870194e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.631453267538888863e-01,9.317325107866587519e-01
1.788340669549707890e+09,7.315564311162232602e-01,2.767897504351266136e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.641738816623234509e-01,9.313309744204774088e-01
1.788340669649683714e+09,7.048462518970000090e-01,2.752334329038461203e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.834099845770047588e-01,9.235782499207423335e-01
1.788340669749717236e+09,6.557665943904288364e-01,2.740710386369471063e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.230123424738466142e-01,9.061239198447357257e-01
1.788340669849719048e+09,6.207454667885976551e-01,2.746354380987110488e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.630905125235980635e-01,8.863109935065859313e-01
1.788340669949867010e+09,6.076511274638364268e-01,2.751109939167494467e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.756275924090096474e-01,8.796467434937783603e-01
1.788340670049729586e+09,6.266046628921245754e-01,2.736096103953741476e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.630029854891953844e-01,8.863567201911948246e-01
1.788340670149682045e+09,6.772810973013915214e-01,2.716570614465081412e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.265056177357241518e-01,9.044849131079348847e-01
1.788340670249667883e+09,7.324416508209794507e-01,2.722424280090533610e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.832502217197200634e-01,9.236445569329067018e-01
1.788340670349671602e+09,7.650103540396959723e-01,2.745396382611609898e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.423203811778929295e-01,9.395832888202206856e-01
